Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
5327,8.10,,Victor CASTILLO,08 JUN 1981,VEN,1q,,St. George's (GRN),05 JUL 2003,1160
5327,8.10,+3.5,Nikolay ATANASOV,11 DEC 1974,BUL,1,,Plovdiv (BUL),05 JUL 2003,1139
5327,8.10,+1.0,Savanté STRINGFELLOW,06 NOV 1978,USA,2,,Gateshead (GBR),13 JUL 2003,1160
5327,8.10,+3.2,Gaspar ARAÚJO,17 DEC 1981,POR,1,,Seia (POR),02 AUG 2003,1141
5327,8.10,0.0,Hussein Taher AL SABEE,14 NOV 1979,KSA,5,,"Stade de France, Paris-St-Denis (FRA)",29 AUG 2003,1160
5327,8.10,-0.4,Huang LE,25 SEP 1977,CHN,1,,Shanghai (CHN),14 SEP 2003,1162
5327,8.10,+0.7,Hussein Taher AL SABEE,14 NOV 1979,KSA,1,,Kuwait (KUW),08 OCT 2003,1160
5327,8.10,,Yann DOMENECH,17 MAR 1979,FRA,1,,Liévin (FRA) (i),31 JAN 2004,1160
5327,8.10,,Luis Felipe MÉLIZ,11 AUG 1979,CUB,2,,Moskva (RUS) (i),01 FEB 2004,1160
5327,8.10,,Kirill SOSUNOV,01 NOV 1975,RUS,1,,Moskva (RUS) (i),21 FEB 2004,1160
5327,8.10,,Leevan SANDS,16 AUG 1981,BAH,1,,"Lexington, KY (USA) (i)",28 FEB 2004,1160
5327,8.10,+1.9,Jadel GREGÓRIO,16 SEP 1980,BRA,1,,Ibirapuera (BRA),16 APR 2004,1160
5327,8.10,+0.8,Can ZHOU,20 MAY 1979,CHN,1q1,,Shijiazhuang (CHN),22 MAY 2004,1160
5327,8.10,+1.0,Jonathan CHIMIER,06 AUG 1982,MRI,1,,Lugano (SUI),05 JUN 2004,1160
5327,8.10,,Kirill SOSUNOV,01 NOV 1975,RUS,1,,Haapsalu (EST),15 JUN 2004,1160
5327,8.10,+0.8,Gaspar ARAÚJO,17 DEC 1981,POR,,,Istanbul (TUR),19 JUN 2004,1160
5327,8.10,+2.0,Dimitrios DIAMANTARAS,18 JUL 1984,GRE,2,,Chania (GRE),28 JUN 2004,1160
5327,8.10,+1.3,Nicola TRENTIN,20 JUN 1974,ITA,2,,Firenze (ITA),10 JUL 2004,1160
5327,8.10,0.0,Tony ALLMOND,08 OCT 1982,USA,2,,"Sacramento, CA (USA)",11 JUL 2004,1160
5327,8.10,+1.1,Salim SDIRI,26 OCT 1978,FRA,1,,Font-Romeu (FRA),01 AUG 2004,1160
5327,8.10,-0.1,Joan Lino MARTÍNEZ,17 JAN 1978,ESP,3q1,,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1160
5327,8.10,+0.3,Tommi EVILÄ,06 APR 1980,FIN,1,,Vammala (FIN),29 AUG 2004,1160
5327,8.10,,Roman SHCHURENKO,14 SEP 1976,UKR,1,,Kyiv (UKR) (i),14 JAN 2005,1160
5327,8.10,+3.7,Tim PARRAVICINI,25 APR 1981,AUS,1,,Adelaide (AUS),19 FEB 2005,1138
5327,8.10,+0.5,Irving SALADINO,23 JAN 1983,PAN,1,,São Paulo (BRA),02 MAR 2005,1160
5327,8.10,+2.7,Morten JENSEN,02 DEC 1982,DEN,1,,Tallinn (EST),18 JUN 2005,1144
5327,8.10,+1.6,Joan Lino MARTÍNEZ,17 JAN 1978,ESP,5,,Madrid (ESP),16 JUL 2005,1160
5327,8.10,+2.6,Joan Lino MARTÍNEZ,17 JAN 1978,ESP,6q2,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1145
5327,8.10,+1.6,Salim SDIRI,26 OCT 1978,FRA,3,,Linz (AUT),23 AUG 2005,1160
5327,8.10,,Walter DAVIS,02 JUL 1979,USA,2,,"Schleyer Halle, Stuttgart (GER) (i)",04 FEB 2006,1160
5327,8.10,,Andrew HOWE,12 MAY 1985,ITA,1,,Ancona (ITA) (i),18 FEB 2006,1160
5327,8.10,,Irving SALADINO,23 JAN 1983,PAN,1q1,,"Olimpiyskiy Stadion, Moskva (RUS) (i)",10 MAR 2006,1160
5327,8.10,,Louis TSATOUMAS,12 FEB 1982,GRE,4,,"Olimpiyskiy Stadion, Moskva (RUS) (i)",11 MAR 2006,1160
5327,8.10,-0.1,Fabrice LAPIERRE,17 OCT 1983,AUS,3,,Melbourne (AUS),22 MAR 2006,1160
5327,8.10,+0.6,John MOFFITT,12 DEC 1980,USA,4,,Fort-de-France (FRA),29 APR 2006,1160
5327,8.10,+1.3,Issam NIMA,08 APR 1979,ALG,2,,"Stadion Juliska, Praha (CZE)",05 JUN 2006,1160
5327,8.10,+1.1,James BECKFORD,09 JAN 1975,JAM,1,,Warszawa (POL),18 JUN 2006,1160
5327,8.10,-0.5,Mohamed Salman AL KHUWALIDI,19 JUN 1981,KSA,1,,Algiers (ALG),22 JUN 2006,1163
5327,8.10,-1.7,Brian JOHNSON,05 MAR 1980,USA,1,,"Indianapolis, IN (USA)",23 JUN 2006,1170
5327,8.10,0.0,Walter DAVIS,02 JUL 1979,USA,5,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1160
5327,8.10,+1.8,Fabrice LAPIERRE,17 OCT 1983,AUS,2,,La Laguna (ESP),08 JUL 2006,1160
5327,8.10,0.0,Miguel PATE,13 JUN 1979,USA,6,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1160
5327,8.10,-0.2,Mohamed Salman AL KHUWALIDI,19 JUN 1981,KSA,7,,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1161
5327,8.10,+2.7,Bogdan TUDOR,01 FEB 1970,ROU,1,,Bucureşti (ROU),24 JUL 2006,1144
5327,8.10,+3.5,Chris TOMLINSON,15 SEP 1981,GBR,1,,Manchester (GBR),02 JUN 2007,1139
5327,8.10,+0.7,Nikolay ATANASOV,11 DEC 1974,BUL,2,,Villeneuve d'Ascq (FRA),08 JUN 2007,1160
5327,8.10,0.0,Arnaud CASQUETTE,16 APR 1978,MRI,2,,Algiers (ALG),21 JUN 2007,1160
5327,8.10,-0.9,Nelson ÉVORA,20 APR 1984,POR,1,,Milano (ITA),23 JUN 2007,1165
5327,8.10,-0.1,Louis TSATOUMAS,12 FEB 1982,GRE,3,,"Olympic Stadium, Athina (GRE)",02 JUL 2007,1160
5327,8.10,+0.7,Tony ALLMOND,08 OCT 1982,USA,4,,Bad Langensalza (GER),07 JUL 2007,1160
5327,8.10,+0.2,Peter RAPP,29 MAY 1983,GER,1,,Ebensee (AUT),07 JUL 2007,1160
5327,8.10,+0.7,Miguel PATE,13 JUN 1979,USA,4q2,,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1160
5327,8.10,+0.5,Hussein Taher AL SABEE,14 NOV 1979,KSA,2,,Cairo (EGY),21 NOV 2007,1160
5327,8.10,,Wilfredo MARTÍNEZ,09 JAN 1985,CUB,1,,Valencia (ESP) (i),23 FEB 2008,1160
5327,8.10,0.0,Dmitriy PLOTNIKOV,30 JAN 1987,RUS,1,,Sochi (RUS),28 MAY 2008,1160
5327,8.10,0.0,Gable GARENAMOTSE,28 FEB 1977,BOT,1,,Dessau (GER),30 MAY 2008,1160
5327,8.10,+0.9,Andrew HOWE,12 MAY 1985,ITA,5,,"Olympiastadion, Berlin (GER)",01 JUN 2008,1160
5327,8.10,+2.3,Peter RAPP,29 MAY 1983,GER,4f2,,Bad Langensalza (GER),07 JUN 2008,1147
5327,8.10,0.0,Marcin STARZAK,20 OCT 1985,POL,1,,Chania (GRE),07 JUN 2008,1160
5327,8.10,+0.5,Morten JENSEN,02 DEC 1982,DEN,2,,Chania (GRE),07 JUN 2008,1160
5327,8.10,+1.1,Julien FIVAZ,09 JAN 1979,SUI,2,,Pierre-Bénite (FRA),13 JUN 2008,1160
5327,8.10,+0.8,Fabrice LAPIERRE,17 OCT 1983,AUS,1,,Gold Coast (AUS),15 JUN 2008,1160
5327,8.10,+0.1,Mauro Vinícius DA SILVA,26 DEC 1986,BRA,1,,Nuoro (ITA),09 JUL 2008,1160
5327,8.10,+0.4,Brian JOHNSON,05 MAR 1980,USA,3,,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1160
5327,8.10,+2.2,Mohamed Salman AL KHUWALIDI,19 JUN 1981,KSA,1,,Bottrop (GER),30 AUG 2008,1147
5327,8.10,+0.3,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,1f1,,Germiston (RSA),06 MAR 2009,1160
5327,8.10,+2.0,Ndiss Kaba BADJI,21 SEP 1983,SEN,2,,Stellenbosch (RSA),13 MAR 2009,1160
5327,8.10,+3.6,Mitchell WATT,25 MAR 1988,AUS,2,,Brisbane (AUS),21 MAR 2009,1139
5327,8.10,+2.4,Salim SDIRI,26 OCT 1978,FRA,1,,Montreuil-sous-Bois (FRA),17 MAY 2009,1146
5327,8.10,+2.1,Chris TOMLINSON,15 SEP 1981,GBR,2,,Bad Langensalza (GER),06 JUN 2009,1148
5327,8.10,+0.9,Mitchell WATT,25 MAR 1988,AUS,1,,Gold Coast (AUS),14 JUN 2009,1160
5327,8.10,+0.9,Chris TOMLINSON,15 SEP 1981,GBR,8,,Madrid (ESP),04 JUL 2009,1160
5327,8.10,+1.4,Marcin STARZAK,20 OCT 1985,POL,3,,Beograd (SRB),12 JUL 2009,1160
5327,8.10,+0.5,Chris NOFFKE,06 JAN 1988,AUS,1,,Brisbane (AUS),12 JUL 2009,1160
5327,8.10,0.0,Randall FLIMMONS,31 DEC 1984,USA,1,,Abuja (NGR),18 JUL 2009,1160
5327,8.10,+0.6,Issam NIMA,08 APR 1979,ALG,1,,Damascus (SYR),06 OCT 2009,1160
5327,8.10,+0.7,Jorge MCFARLANE,20 FEB 1988,PER,3,,Sucre (BOL),23 NOV 2009,1160
5327,8.10,,Christian REIF,24 OCT 1984,GER,1,,Karlsruhe (GER) (i),27 FEB 2010,1160
5327,8.10,+1.8,Yohei SUGAI,14 JUN 1985,JPN,1,,Marugame (JPN),05 JUN 2010,1160
5327,8.10,-0.1,Michel TORNÉUS,26 MAY 1986,SWE,1,,Genève (SUI),12 JUN 2010,1160
5327,8.10,+1.6,Emanuele FORMICHETTI,28 MAY 1983,ITA,2,,Grosseto (ITA),30 JUN 2010,1160
5327,8.10,+2.6,Frederic ERIN,23 APR 1980,FRA,3,,Valence (FRA),10 JUL 2010,1145
5327,8.10,+1.9,Deokhyeon KIM,08 DEC 1985,KOR,3,,Lappeenranta (FIN),15 JUL 2010,1160
5327,8.10,-1.2,Ndiss Kaba BADJI,21 SEP 1983,SEN,2,,"Nyayo National Stadium, Nairobi (KEN)",29 JUL 2010,1167
5327,8.10,+0.8,Greg RUTHERFORD,17 NOV 1986,GBR,1,,Göteborg (SWE),10 AUG 2010,1160
5327,8.10,+1.4,Morten JENSEN,02 DEC 1982,DEN,1,,Joensuu (FIN),21 AUG 2010,1160
5327,8.10,+0.8,Aleksandr MENKOV,07 DEC 1990,RUS,1,,Rovereto (ITA),31 AUG 2010,1160
5327,8.10,+0.1,Kafétien GOMIS,23 MAR 1980,FRA,2,,"Poljud Stadion, Split (CRO)",04 SEP 2010,1160
5327,8.10,,Louis TSATOUMAS,12 FEB 1982,GRE,1,,Athina (GRE) (i),29 JAN 2011,1160
5327,8.10,,Michel TORNÉUS,26 MAY 1986,SWE,1,,Mustasaari (FIN) (i),15 FEB 2011,1160
5327,8.10,,Marquise GOODWIN,19 NOV 1990,USA,1,,"Lincoln, NE (USA) (i)",25 FEB 2011,1160
5327,8.10,-0.2,Yahya BERRABAH,13 OCT 1981,MAR,1,,Rabat (MAR),05 JUN 2011,1161
5327,8.10,+1.2,Christian REIF,24 OCT 1984,GER,4,,"Olympiastadion, Stockholm (SWE)",18 JUN 2011,1160
5327,8.10,+3.1,Jeremy HICKS,19 SEP 1986,USA,3,,"Hayward Field, Eugene, OR (USA)",25 JUN 2011,1142
5327,8.10,+0.5,Norris FREDERICK,17 FEB 1986,USA,1,,Burnaby (CAN),01 JUL 2011,1160
5327,8.10,-0.1,Yahya BERRABAH,13 OCT 1981,MAR,5,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1160
5327,8.10,+0.2,Sergey MORGUNOV,09 FEB 1993,RUS,,,"Kadrioru staadion, Tallinn (EST)",22 JUL 2011,1160
5327,8.10,+1.3,Kafétien GOMIS,23 MAR 1980,FRA,,,Albi (FRA),30 JUL 2011,1160
5327,8.10,-0.4,Marcos CHUVA,08 AUG 1989,POR,3q2,,"DS, Daegu (KOR)",01 SEP 2011,1162
5327,8.10,+0.1,Will CLAYE,13 JUN 1991,USA,9,,"DS, Daegu (KOR)",02 SEP 2011,1160
5327,8.10,,Marquise GOODWIN,19 NOV 1990,USA,1,,"Fayetteville, AR (USA) (i)",27 JAN 2012,1160
5327,8.10,-0.6,Mauro Vinícius DA SILVA,26 DEC 1986,BRA,2,,São Paulo (BRA),18 FEB 2012,1163
5327,8.10,,Luis Felipe MÉLIZ,11 AUG 1979,ESP,2q,,"Ataköy Arena, Istanbul (TUR) (i)",09 MAR 2012,1160
5327,8.10,+0.9,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1160
5327,8.10,+1.3,Aleksandr MENKOV,07 DEC 1990,RUS,2,,Rabat (MAR),27 MAY 2012,1160
5327,8.10,0.0,Viktor KUZNYETSOV,14 JUL 1986,UKR,1,,Yalta (UKR),28 MAY 2012,1160
5327,8.10,+0.7,Zhiming YUN,09 OCT 1988,CHN,1,,Regensburg (GER),02 JUN 2012,1160
5327,8.10,+2.0,Fabrice LAPIERRE,17 OCT 1983,AUS,,,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1160
5327,8.10,+2.4,JJ JEGEDE,03 OCT 1985,GBR,4,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1146
5327,8.10,+0.4,Sebastian BAYER,11 JUN 1986,GER,5,,"Olympic Stadium, London (GBR)",04 AUG 2012,1160
5327,8.10,+0.6,Greg RUTHERFORD,17 NOV 1986,GBR,1,,"Albert Park, Melbourne (AUS)",06 APR 2013,1160
5327,8.10,0.0,Michael HARTFIELD,29 MAR 1990,USA,1f2,,"Tucson, AZ (USA)",06 APR 2013,1160
5327,8.10,+1.8,Ndiss Kaba BADJI,21 SEP 1983,SEN,,,"El Paso, TX (USA)",13 APR 2013,1160
5327,8.10,+1.2,Will CLAYE,13 JUN 1991,USA,4,,"Hayward Field, Eugene, OR (USA)",31 MAY 2013,1160
5327,8.10,+0.8,Luis Alberto RIVERA MORALES,21 JUN 1987,MEX,1,,"Stadion Juliska, Praha (CZE)",10 JUN 2013,1160
5327,8.10,-0.8,Konstantin SAFRONOV,02 SEP 1987,KAZ,1,,Almaty (KAZ),16 JUN 2013,1164
5327,8.10,+1.3,Marquis DENDY,17 NOV 1992,USA,5,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1160
5327,8.10,+2.6,Salim SDIRI,26 OCT 1978,FRA,1,,Paris (FRA),14 JUL 2013,1145
5327,8.10,+0.4,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,7,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1160
5327,8.10,,Ngonidzashe MAKUSHA,11 MAR 1987,ZIM,1,,"Birmingham, AL (USA) (i)",11 JAN 2014,1160
5327,8.10,+0.6,Irving SALADINO,23 JAN 1983,PAN,1,,São Paulo (BRA),25 JAN 2014,1160
5327,8.10,+3.3,Yunior DIAZ,28 APR 1987,CUB,1,,La Habana (CUB),08 FEB 2014,1141
5327,8.10,,Chris BENARD,09 APR 1990,USA,1,,"Albuquerque, NM (USA) (i)",14 FEB 2014,1160
5327,8.10,+0.4,Ruswahl SAMAAI,25 SEP 1991,RSA,2,,Johannesburg (RSA),26 FEB 2014,1160
5327,8.10,,Louis TSATOUMAS,12 FEB 1982,GRE,3q,,"Ergo Arena, Sopot (POL) (i)",07 MAR 2014,1160
5327,8.10,+0.1,Henry FRAYNE,14 APR 1990,AUS,1,,"Albert Park, Melbourne (AUS)",22 MAR 2014,1160
5327,8.10,-0.1,Jianan WANG,27 AUG 1996,CHN,2,,Beijing (CHN),24 APR 2014,1160
5327,8.10,+1.6,Damar FORBES,11 SEP 1990,JAM,1,,Kingston (JAM),28 JUN 2014,1160
5327,8.10,+1.0,Jinzhe LI,01 SEP 1989,CHN,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1160
5327,8.10,+1.2,Jeff HENDERSON,19 FEB 1989,USA,1f1,,La Chaux-de-Fonds (SUI),06 JUL 2014,1160
5327,8.10,+2.5,Michel TORNÉUS,26 MAY 1986,SWE,1,,Karlstad (SWE),16 JUL 2014,1145
5327,8.10,,Jinzhe LI,01 SEP 1989,CHN,1,,Mondeville (FRA) (i),07 FEB 2015,1160
5327,8.10,,Xinglong GAO,12 MAR 1994,CHN,1,,Shanghai (CHN) (i),01 MAR 2015,1160
5327,8.10,,Radek JUŠKA,08 MAR 1993,CZE,2,,"O2 Arena, Praha (CZE) (i)",06 MAR 2015,1160
5327,8.10,+3.5,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,5,,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015,1139
5327,8.10,+0.6,Zarck VISSER,15 SEP 1989,RSA,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",14 JUN 2015,1160
5327,8.10,+0.7,Jinzhe LI,01 SEP 1989,CHN,3,,Beijing (CHN),07 AUG 2015,1160
5327,8.10,+0.1,Jinzhe LI,01 SEP 1989,CHN,5q2,,"National Stadium, Beijing (CHN)",24 AUG 2015,1160
5327,8.10,+0.2,Jinzhe LI,01 SEP 1989,CHN,5,,"National Stadium, Beijing (CHN)",25 AUG 2015,1160
5327,8.10,+1.1,Braxton DRUMMOND,01 JUL 1994,USA,1,,"Coral Gables, FL (USA)",09 APR 2016,1160
5327,8.10,-0.6,Emiliano LASA,25 JAN 1990,URU,6,,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016,1163
5327,8.10,+0.4,Hung-Min LIN,07 SEP 1990,TPE,1,,Hiratsuka (JPN),10 JUN 2017,1160
5327,8.10,+0.7,Michel TORNÉUS,26 MAY 1986,SWE,4,,"FBK Stadium, Hengelo (NED)",11 JUN 2017,1160
5327,8.10,-0.4,Yaoguang ZHANG,21 JUN 1993,CHN,2,,Guiyang (CHN),27 JUN 2017,1162
5327,8.10,+0.1,Arttu PAJULAHTI,25 SEP 1991,FIN,3,,Monachil (ESP),07 JUL 2017,1160
5327,8.10,+1.7,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,Katerini (GRE),09 JUL 2017,1160
5327,8.10,+1.3,Rail KUTUYEV,06 AUG 1996,RUS,3,,Zhukovskiy (RUS),29 JUL 2017,1160
5327,8.10,+3.0,Rodney RUFFIN,17 MAR 1997,USA,1,,"Hammond, LA (USA)",23 MAR 2018,1142
5327,8.10,+1.6,Fabian Ime EDOKI,30 MAR 1998,NGR,1,,"Abilene, TX (USA)",24 MAR 2018,1160
5327,8.10,+1.0,Jeff HENDERSON,19 FEB 1989,USA,f9,,"Long Beach, CA (USA)",21 APR 2018,1160
5327,8.10,NWI,Yahya BERRABAH,13 OCT 1981,MAR,1,,Benguerir (MAR),29 APR 2018,1130
5327,8.10,+1.9,Janaka PRASAD,08 SEP 1992,SRI,1,,Colombo (SRI),12 MAY 2018,1160
5327,8.10,+0.1,Ramone BAILEY,31 OCT 1991,JAM,1,,Kingston (JAM),23 JUN 2018,1160
5327,8.10,+0.3,Jeff HENDERSON,19 FEB 1989,USA,1,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1160
5327,8.10,+1.0,Tomasz JASZCZUK,09 MAR 1992,POL,1,,Lublin (POL),22 JUL 2018,1160
5327,8.10,+0.1,Thobias NILSSON MONTLER,15 FEB 1996,SWE,4,,"Olympiastadion, Berlin (GER)",08 AUG 2018,1160
5327,8.10,,Tajay GAYLE,02 AUG 1996,JAM,2,,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1160
5327,8.10,+2.7,Wayne PINNOCK,24 OCT 2000,JAM,1,,Kingston (JAM),09 MAR 2019,1144
5327,8.10,0.0,Jovan VAN VUUREN,17 JUL 1996,RSA,1,,Stellenbosch (RSA),05 APR 2019,1160
5327,8.10,+2.4,Odaine LEWIS,13 DEC 1996,JAM,1,,"Lubbock, TX (USA)",26 APR 2019,1146
5327,8.10,+0.1,Ja'Mari WARD,21 MAR 1998,USA,1,,"Fayetteville, AR (USA)",10 MAY 2019,1160
5327,8.10,+1.8,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,Argostoli (GRE),11 MAY 2019,1160
5327,8.10,0.0,Yaoguang ZHANG,21 JUN 1993,CHN,2,,"Olympic Stadium, Nanjing (CHN)",20 MAY 2019,1160
5327,8.10,-0.3,Xinglong GAO,12 MAR 1994,CHN,3,,"Olympic Stadium, Nanjing (CHN)",20 MAY 2019,1161
5327,8.10,+0.7,Mohammed ABUBAKAR,04 OCT 1995,GHA,2,,"Decatur, IL (USA)",21 JUN 2019,1160
5327,8.10,+2.0,Kyle DARROW,12 APR 1995,USA,2,,"Chula Vista, CA (USA)",13 JUL 2019,1160
5327,8.10,+1.9,Ingar BRATSETH-KIPLESUND,15 NOV 1996,NOR,2,,Monachil (ESP),17 AUG 2019,1160
5327,8.10,+2.7,Tomasz JASZCZUK,09 MAR 1992,POL,1,,"Stadion im. Marszałka Józefa Piłsudskiego, Radom (POL)",25 AUG 2019,1144
5327,8.10,+3.6,Kristian PULLI,02 SEP 1994,FIN,1,,"Olympiastadion, Stockholm (SWE)",25 AUG 2019,1139
5327,8.10,-0.2,Miltiadis TENTOGLOU,18 MAR 1998,GRE,5,,"Letzigrund, Zürich (SUI)",29 AUG 2019,1161
5327,8.10,,Thobias MONTLER,15 FEB 1996,SWE,1,,"IK Pallas, Malmö (SWE) (i)",26 JAN 2020,1160
5327,8.10,+0.6,Uladzislau BULAKHAU,23 JAN 1999,BLR,1,,"Dinamo National Olympic Stadium, Minsk (BLR)",02 AUG 2020,1160
5327,8.10,+0.2,Radek JUŠKA,08 MAR 1993,CZE,1,,"Atletický stadion města Plzně, Plzeň (CZE)",09 AUG 2020,1160
5327,8.10,+1.2,Emanuel ARCHIBALD,09 SEP 1994,GUY,1,,"Leonora Stadium, Leonora (GUY)",14 FEB 2021,1160
5327,8.10,+1.6,Rayvon GREY,02 DEC 1997,USA,,,"Sam Bailey Track Stadium, Tuscaloosa, AL (USA)",10 APR 2021,1160
5327,8.10,+1.4,Ruswahl SAMAAI,25 SEP 1991,RSA,2,,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1160
5327,8.10,+2.3,Steffin MCCARTER,19 JAN 1997,USA,2q1,,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1147
5327,8.10,+0.3,Simon EHAMMER,07 FEB 2000,SUI,1,,"Kadrioru staadion, Tallinn (EST)",09 JUL 2021,1160
5327,8.10,+0.3,Filippo RANDAZZO,27 APR 1996,ITA,3q1,,"National Stadium, Tokyo (JPN)",31 JUL 2021,1160
5327,8.10,0.0,Yuki HASHIOKA,23 JAN 1999,JPN,6,,"National Stadium, Tokyo (JPN)",02 AUG 2021,1160
5327,8.10,,Steffin MCCARTER,19 JAN 1997,USA,2,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",14 JAN 2022,1160
5327,8.10,+2.0,Emiliano LASA,25 JAN 1990,URU,,,"CNDA, Bragança Paulista (BRA)",29 JAN 2022,1160
5327,8.10,,Marquis DENDY,17 NOV 1992,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",05 FEB 2022,1160
5327,8.10,,Emiliano LASA,25 JAN 1990,URU,2,,Cochabamba (BOL) (i),20 FEB 2022,1160
5327,8.10,+3.4,Dhanushka SANDARUWAN,15 APR 1994,SRI,3,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1140
5327,8.10,-0.9,Jovan VAN VUUREN,17 JUL 1996,RSA,1,,"Germiston Stadium, Johannesburg (RSA)",13 APR 2022,1165
5327,8.10,+0.5,José MANDROS,12 NOV 1998,PER,1,,Ibiza (ESP),07 MAY 2022,1160
5327,8.10,+0.6,Thobias MONTLER,15 FEB 1996,SWE,2,,"Ethnikou Stadiou, Kalamata (GRE)",21 MAY 2022,1160
5327,8.10,+2.8,Marquis DENDY,17 NOV 1992,USA,1,,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",21 MAY 2022,1144
5327,8.10,+0.7,Héctor SANTOS,06 JAN 1998,ESP,2,,Salamanca (ESP),04 JUN 2022,1160
5327,8.10,+0.3,Changzhou HUANG,20 AUG 1994,CHN,1,,Guadalajara (ESP),08 JUN 2022,1160
5327,8.10,+0.7,Henry FRAYNE,14 APR 1990,AUS,1,,"Centre sportif Bout-du-Monde, Genève (SUI)",11 JUN 2022,1160
5327,8.10,+1.0,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1160
5327,8.10,+0.2,Eusebio CÁCERES,10 SEP 1991,ESP,1,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",25 JUN 2022,1160
5327,8.10,,Wayne PINNOCK,24 OCT 2000,JAM,1,,"Convention Center, Albuquerque, NM (USA) (i)",03 FEB 2023,1160
5327,8.10,,Xinglong GAO,12 MAR 1994,CHN,1,,"Tuanbo Sports Center, Tianjin (CHN) (i)",15 MAR 2023,1160
5327,8.10,-0.3,LaQuan NAIRN,31 JUL 1996,BAH,3,,"National Stadium, Gaborone (BOT)",29 APR 2023,1161
5327,8.10,+1.7,Jermel JONES II,23 SEP 2000,USA,2,,"CSU - Neta and Eddie DeRose Thunderbowl, Pueblo, CO (USA)",25 MAY 2023,1160
5327,8.10,+1.3,Alejandro PARADA,05 JUL 2004,CUB,2,,"Centre sportif Bout-du-Monde, Genève (SUI)",10 JUN 2023,1160
5327,8.10,+2.3,Jeremiah DAVIS,31 AUG 2001,USA,2,,"Estadio Nacional - La Sabana, San José (CRC)",22 JUL 2023,1147
5327,8.10,-0.2,Radek JUŠKA,08 MAR 1993,CZE,4q1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1161
5327,8.10,+1.2,Radek JUŠKA,08 MAR 1993,CZE,4,,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1160
5327,8.10,-0.4,Shunsuke IZUMIYA,26 JAN 2000,JPN,1,,"Nagaragawa Stadium, Gifu (JPN)",23 SEP 2023,1162
5327,8.10,-0.1,Yuhao SHI,26 SEP 1998,CHN,3,,"HOC Stadium, Hangzhou (CHN)",01 OCT 2023,1160
5327,8.10,+1.2,Lucas Marcelino DOS SANTOS,04 JAN 1995,BRA,1,,Mar del Plata (ARG),01 OCT 2023,1160
5327,8.10,+4.1,Chenoult Lionel COETZEE,06 MAY 1997,NAM,1,,"Independence Stadium, Windhoek (NAM)",26 APR 2024,1136
5327,8.10,+2.8,James CARTER,24 JUN 2000,USA,1,,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1144
5327,8.10,+1.8,Gerson BALDÉ,28 JAN 2000,POR,3q2,,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1160
5327,8.10,+3.6,Marko ČEKO,03 AUG 2000,CRO,1,,"Atletski stadion Poljane, Maribor (SLO)",19 JUN 2024,1139
5327,8.10,+0.7,Steffin MCCARTER,19 JAN 1997,USA,6,,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1160
5327,8.10,,Trumaine JEFFERSON,21 APR 1995,USA,1,,"Houston-Yeoman FH, Houston, TX (USA) (i)",01 FEB 2025,1160
